date,pm25,no2
2015-04-08,42,11
2015-04-09,32,18
2015-04-10,38,10
2015-04-11,38,12
2015-04-12,38,23
2015-04-13,46,18
2015-04-14,37,21
2015-04-15,33,19
2015-04-16,36,19
2015-04-17,38,13
2015-04-18,46,7
2015-04-19,34,11
2015-04-20,36,15
2015-04-21,34,19
2015-04-22,44,12
2015-04-23,28,10
2015-04-24,38,9
2015-04-25,34,11
2015-04-26,33,13
2015-04-27,32,9
2015-04-28,23,13
2015-04-29,24,10
2015-04-30,19,8
2015-05-01,25,9
2015-05-02,33,7
2015-05-03,45,8
2015-05-04,54,14
2015-05-05,62,15
2015-05-06,35,15
2015-05-07,35,13
2015-05-08,52,9
2015-05-09,43,6
2015-05-10,33,9
2015-05-11,55,11
2015-05-12,56,10
2015-05-13,39,17
2015-05-14,47,23
2015-05-15,56,14
2015-05-16,52,8
2015-05-17,63,6
2015-05-18,43,14
2015-05-19,45,11
2015-05-20,46,17
2015-05-21,45,16
2015-05-22,51,9
2015-05-23,39,8
2015-05-24,48,
2015-05-25,,14
2015-05-26,60,11
2015-05-27,51,12
2015-05-28,56,13
2015-05-29,34,11
2015-05-30,43,4
2015-05-31,35,6
2015-06-01,31,8
2015-06-02,25,10
2015-06-03,34,12
2015-06-04,36,15
2015-06-05,43,13
2015-06-06,39,11
2015-06-07,44,10
2015-06-08,40,10
2015-06-09,52,15
2015-06-10,49,17
2015-06-11,77,20
2015-06-12,61,9
2015-06-13,52,12
2015-06-14,50,9
2015-06-15,38,14
2015-06-16,55,11
2015-06-17,41,16
2015-06-18,50,13
2015-06-19,44,8
2015-06-20,45,10
2015-06-21,39,17
2015-06-22,54,16
2015-06-23,66,13
2015-06-24,46,17
2015-06-25,52,13
2015-06-26,50,12
2015-06-27,50,5
2015-06-28,32,14
2015-06-29,37,13
2015-06-30,39,13
2015-07-01,51,17
2015-07-02,51,14
2015-07-03,48,14
2015-07-04,69,11
2015-07-05,90,16
2015-07-06,76,9
2015-07-07,54,12
2015-07-08,70,7
2015-07-09,68,13
2015-07-10,64,12
2015-07-11,61,9
2015-07-12,64,13
2015-07-13,76,11
2015-07-14,55,13
2015-07-15,36,6
2015-07-16,38,13
2015-07-17,52,10
2015-07-18,32,7
2015-07-19,47,16
2015-07-20,62,19
2015-07-21,62,12
2015-07-22,43,10
2015-07-23,45,13
2015-07-24,44,6
2015-07-25,41,7
2015-07-26,50,15
2015-07-27,41,12
2015-07-28,56,16
2015-07-29,62,14
2015-07-30,64,13
2015-07-31,46,13
2015-08-01,43,8
2015-08-02,40,13
2015-08-03,53,16
2015-08-04,50,15
2015-08-05,43,12
2015-08-06,47,11
2015-08-07,39,8
2015-08-08,38,11
2015-08-09,35,13
2015-08-10,45,10
2015-08-11,34,13
2015-08-12,32,12
2015-08-13,37,15
2015-08-14,45,14
2015-08-15,47,11
2015-08-16,47,15
2015-08-17,57,16
2015-08-18,72,13
2015-08-19,43,8
2015-08-20,33,12
2015-08-21,38,10
2015-08-22,27,6
2015-08-23,21,10
2015-08-24,31,10
2015-08-25,33,16
2015-08-26,54,13
2015-08-27,48,10
2015-08-28,34,13
2015-08-29,34,12
2015-08-30,55,17
2015-08-31,58,10
2015-09-01,61,16
2015-09-02,65,16
2015-09-03,70,9
2015-09-04,37,10
2015-09-05,27,9
2015-09-06,35,9
2015-09-07,43,23
2015-09-08,63,14
2015-09-09,43,12
2015-09-10,29,10
2015-09-11,22,9
2015-09-12,22,4
2015-09-13,13,8
2015-09-14,26,15
2015-09-15,43,19
2015-09-16,45,22
2015-09-17,45,24
2015-09-18,59,12
2015-09-19,45,7
2015-09-20,24,7
2015-09-21,29,12
2015-09-22,26,18
2015-09-23,33,18
2015-09-24,34,13
2015-09-25,30,11
2015-09-26,34,13
2015-09-27,38,16
2015-09-28,37,9
2015-09-29,24,9
2015-09-30,15,8
2015-10-01,27,7
2015-10-02,35,3
2015-10-03,27,3
2015-10-04,40,12
2015-10-05,31,18
2015-10-06,44,20
2015-10-07,46,12
2015-10-08,31,13
2015-10-09,33,9
2015-10-10,32,10
2015-10-11,40,15
2015-10-12,50,21
2015-10-13,52,11
2015-10-14,31,16
2015-10-15,34,17
2015-10-16,39,11
2015-10-17,38,7
2015-10-18,35,15
2015-10-19,43,22
2015-10-20,50,25
2015-10-21,52,21
2015-10-22,61,12
2015-10-23,42,16
2015-10-24,37,9
2015-10-26,25,14
2015-10-27,32,22
2015-10-28,47,15
2015-10-29,41,9
2015-10-30,23,13
2015-10-31,33,14
2015-11-01,34,12
2015-11-02,42,21
2015-11-03,45,26
2015-11-04,49,21
2015-11-05,48,15
2015-11-06,41,10
2015-11-07,35,8
2015-11-08,33,9
2015-11-09,27,20
