date, pm25, pm10, o3, no2, so2, co
2023/6/24, 19, , 33, 3, , 3
2023/6/25, 29, , 31, 7, , 3
2023/6/26, 35, , 42, 8, , 2
2023/6/27, 37, , 37, 8, , 2
2023/6/28, 35, , 37, 8, , 6
2023/6/29, 51, , 36, 13, , 8
2023/6/30, 62, , 46, 10, , 6
2023/1/3, 38, 17, 2, 23, , 6
2023/1/4, 53, 16, 8, 17, , 4
2023/1/5, 49, 6, 17, 9, , 3
2023/1/6, 16, 9, 15, 17, , 3
2023/1/7, 35, 12, 20, 11, , 3
2023/1/8, 31, 11, 23, 12, , 3
2023/1/9, 24, 16, 16, 17, , 3
2023/1/10, 43, 12, 25, 14, , 3
2023/1/11, 28, 12, 16, 16, , 3
2023/1/12, 31, 13, 24, 19, , 4
2023/1/13, 37, 10, 33, 9, , 2
2023/1/14, 26, 7, 19, 10, , 2
2023/1/15, 25, 9, 29, 4, , 2
2023/1/16, 12, 5, 25, 14, , 2
2023/1/17, 25, 14, 26, 18, , 3
2023/1/18, 33, 10, 15, 12, , 3
2023/1/19, 27, 11, 21, 16, , 3
2023/1/20, 28, 7, 24, 16, , 2
2023/1/21, 24, 10, 26, 13, , 3
2023/1/22, 27, 14, 25, 8, , 2
2023/1/23, 33, 6, 20, 11, , 2
2023/1/24, 27, 8, 21, 13, , 3
2023/1/25, 32, 15, 23, 17, , 3
2023/1/26, 35, 7, 28, 9, , 2
2023/1/27, 17, 11, 24, 15, , 3
2023/1/28, 22, 15, 27, 15, , 3
2023/1/29, 38, 16, 31, 17, , 5
2023/1/30, 38, 17, 19, 19, , 4
2023/1/31, 44, 10, 26, 14, , 3
2023/2/1, 30, 10, 26, 14, , 3
2023/2/2, 22, 16, 30, 17, , 3
2023/2/3, 39, 19, 28, 9, , 2
2023/2/4, 28, 12, 25, 8, , 3
2023/2/5, 23, 17, 30, 13, , 3
2023/2/6, 32, 21, 26, 19, , 4
2023/2/7, 48, 18, 27, 8, , 2
2023/2/8, 29, 18, 25, 15, , 3
2023/2/9, 48, 18, 27, 24, , 4
2023/2/10, 46, 14, 28, 14, , 4
2023/2/11, 36, 8, 29, 11, , 3
2023/2/12, 17, 12, 28, 17, , 3
2023/2/13, 33, 22, 28, 16, , 3
2023/2/14, 38, 14, 28, 19, , 4
2023/2/15, 35, 17, 36, 18, , 4
2023/2/16, 36, 26, 30, 21, , 4
2023/2/17, 40, 18, 28, 14, , 3
2023/2/18, 40, 10, 31, 10, , 3
2023/2/19, 20, 14, 31, 13, , 3
2023/2/20, 39, 15, 33, 12, , 2
2023/2/21, 35, 13, 27, 10, , 2
2023/2/22, 27, 11, 25, 14, , 3
2023/2/23, 28, 9, 27, 15, , 3
2023/2/24, 29, 10, 30, 13, , 2
2023/2/25, 35, 11, 28, 13, , 2
2023/2/26, 27, 17, 22, 18, , 4
2023/2/27, 66, 34, 32, 11, , 2
2023/2/28, 44, 16, 29, 10, , 2
2023/3/1, 27, 17, 29, 14, , 2
2023/3/2, 29, 12, 25, 13, , 3
2023/3/3, 29, 10, 30, 11, , 2
2023/3/4, 20, 8, 34, 5, , 2
2023/3/5, 17, 9, 29, 12, , 3
2023/3/6, 23, 11, 33, 12, , 2
2023/3/7, 16, 9, 32, 10, , 2
2023/3/8, 17, 9, 28, 5, , 2
2023/3/9, 16, 11, 29, 5, , 2
2023/3/10, 19, 16, 31, 16, , 2
2023/3/11, 30, 12, 29, 7, , 2
2023/3/12, 26, 12, 33, 9, , 2
